Temp,Densidad,Calor Esp,Cond. Ter.,Dif. Ter.,Visc. Din.,Visc. Cin,Numero de Prandtl
1841,0.1692,1254,0.10632,5.1056E-04,0.00006371,0.0003841336,0.7520
1842,0.1691,1255,0.10635,5.1091E-04,0.00006373,0.0003844032,0.7520
1843,0.1690,1255,0.10638,5.1126E-04,0.00006375,0.0003846728,0.7520
1844,0.1689,1255,0.10641,5.1161E-04,0.00006376,0.0003849424,0.7520
1845,0.1688,1255,0.10644,5.1196E-04,0.00006378,0.000385212,0.7520
1846,0.1688,1255,0.10647,5.1232E-04,0.00006380,0.0003854816,0.7520
1847,0.1687,1255,0.10650,5.1267E-04,0.00006381,0.0003857512,0.7520
1848,0.1686,1255,0.10653,5.1302E-04,0.00006383,0.0003860208,0.7520
1849,0.1685,1255,0.10656,5.1337E-04,0.00006384,0.0003862904,0.7521
1850,0.1684,1255,0.10659,5.1372E-04,0.00006386,0.00038656,0.7521
1851,0.1683,1255,0.10662,5.1407E-04,0.00006388,0.0003868296,0.7521
1852,0.1682,1255,0.10665,5.1442E-04,0.00006389,0.0003870992,0.7521
